ID,PitchNumber,GroupName,ClubName,ClubType,Astro,GrassTurf,Allocated,Playable,ShapeSTArea
86,101,St. Annes Allenton,St. Annes's Gaa,GAA,No,Yes,Yes,Yes,9171.921382
87,68,Jobstown Park,Jobstown Celtic,Soccer,No,Yes,Yes,Yes,4857.899127
88,64,Rathcoole Park,Clondalkin Rugby Club,Rugby,No,Yes,Yes,Yes,4206.873027
89,65,Rathcoole Park,Cummann Peile Naomh Mhuire,GAA,No,Yes,Yes,Yes,10270.61096
90,133,Tymon Park,Dodder Dynamos Softball/Odd Ball Softball Club,Softball,No,Yes,Yes,Yes,3441.586169
91,34,Collinstown Park,Clondalkin F.C,Soccer,No,Yes,Yes,Yes,5997.428909
92,58,Corkagh Park,AZ Alpine,Soccer,No,Yes,Yes,Yes,7256.866985
93,59,Corkagh Park,Roundtowers,GAA,No,Yes,Yes,Yes,11195.15997
94,60,Corkagh Park,Cloncastle SC,Soccer,No,Yes,Yes,Yes,5997.410341
95,63,Corkagh Park,,,No,Yes,No,Yes,5997.403073
96,62,Corkagh Park,,,No,Yes,No,Yes,5997.411922
97,1,Doddsborough Open Space,Lucan United,Soccer,No,Yes,Yes,Yes,5997.404287
98,94,Ballymount Lands,St. Kevins GAA/St. Marks GAA,GAA,No,Yes,Yes,Yes,12153.04753
99,162,Griffeen Valley Park,Arthur Griffith Park FC,Soccer,No,Yes,Yes,Yes,4384.25463
100,163,Collinstown Park,Not Allocated,,,Yes,No,Yes,5997.375424
101,81,Killinarden Park,An Croi Ro Naofa,GAA,No,Yes,Yes,Yes,5466.164559
102,82,Killinarden Park,An Croi Ro Naofa,GAA,No,Yes,Yes,Yes,5466.163754
103,19,SC9,"Hermitage Park, Lucan",Soccer,No,Yes,Yes,Yes,2456.537856
